Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-10-18 07:55:24,false,"Boise Running","9.00","600","01:07:42","128","153","176","201","7:31","6:17","554","636","1.22","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","00:01.70","10","80.6","01:07:37","01:12:29","2,531","3,123"
Trail Running,2021-10-16 09:24:41,false,"Ada County Trail Running","11.12","1,125","01:27:22","147","169","173","208","7:52","5:25","1,342","1,240","1.18","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","57.2","0:00","No","00:53.13","12","77.0","01:27:09","01:40:29","3,003","3,623"
Running,2021-10-15 12:21:31,false,"Madison Running","1.85","150","00:15:03","124","142","171","182","8:09","6:41","95","85","1.15","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","71.6","0:00","No","06:26.90","2","77.0","00:14:57","00:18:34","1,056","1,131"
Running,2021-10-15 10:46:11,false,"Madison Running","2.63","230","00:19:27","135","150","172","193","7:24","5:20","144","167","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","04:39.94","3","68.0","00:19:24","00:20:36","1,059","1,143"
Running,2021-10-14 11:26:18,false,"Madison Running","4.85","398","00:35:04","134","152","174","203","7:14","3:58","285","282","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","64.4","0:00","No","05:22.77","5","82.4","00:35:02","00:37:50","1,056","1,133"
Running,2021-10-13 09:02:07,false,"Boise Running","9.01","773","01:06:48","141","164","175","184","7:25","6:58","194","135","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","46.4","0:00","No","01:06:48.35","1","75.2","01:06:48","01:09:04","2,608","2,690"
Running,2021-10-12 15:04:01,false,"Boise Running","9.01","675","01:05:02","139","171","156","220","7:13","3:06","397","410","1.49","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","62.6","0:00","No","00:30.13","13","73.4","01:00:41","01:18:09","2,500","2,680"
Running,2021-10-11 15:08:18,false,"Boise Running","4.06","267","00:31:07","122","143","175","186","7:40","6:35","203","240","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","64.4","0:00","No","31:06.63","1","75.2","00:31:05","00:50:12","2,692","2,865"
Running,2021-10-11 08:03:24,false,"Boise Running","6.00","469","00:46:02","134","148","176","194","7:40","6:29","308","331","1.19","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","50.0","0:00","No","46:01.83","1","69.8","00:45:54","00:48:09","2,533","2,744"
Running,2021-10-10 16:38:14,false,"Boise Running","4.00","267","00:29:46","124","135","173","182","7:26","6:36","62","75","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","68.0","0:00","No","29:46.03","1","80.6","00:29:43","00:30:42","2,602","2,646"
Trail Running,2021-10-09 08:18:59,false,"Ada County Trail Running","14.00","1,420","01:50:33","153","175","176","201","7:54","5:53","1,759","2,162","1.16","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","48.2","0:00","No","00:01.68","15","75.2","01:50:21","02:00:48","2,545","4,501"
Running,2021-10-08 14:15:29,false,"Boise Running","11.62","829","01:13:45","143","172","181","208","6:21","4:05","686","682","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","57.2","0:00","No","05:17.12","7","69.8","01:13:19","01:28:01","2,609","2,718"
Running,2021-10-07 10:32:55,false,"Boise Running","8.03","755","00:59:34","147","166","174","188","7:25","1:55","597","636","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","59:34.39","1","80.6","00:59:28","01:03:45","2,812","3,348"
Running,2021-10-06 08:27:12,false,"Boise Running","12.00","904","01:31:05","135","162","175","188","7:35","6:50","112","102","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","01:31:04.67","1","75.2","01:30:51","01:38:18","2,544","2,615"
Running,2021-10-05 07:16:43,false,"Boise Running","11.40","762","01:18:19","133","159","168","220","6:52","3:43","82","115","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","50.0","0:00","No","02:26.52","12","73.4","01:16:13","01:51:34","2,654","2,748"
