,Date,Title,Avg Pace,Best Pace,Distance,Calories,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Total Ascent,Total Descent,Avg Stride Length,Min Elevation,Max Elevation,Total Run Time,Min Temp,Max Temp
120,2017-07-26,Lucedale Running,7.833333333333333,6.733333333333333,5.37,588.0,145.2014887535289,168.57757094539448,166.0,172.0,5.0,13.0,1.24,86.0,140.0,42.016666666666666,76.0,100.0
121,2017-07-25,Mobile Running,6.683333333333334,5.316666666666666,9.0,967.0,161.02567077351256,175.86316419038474,172.0,188.0,175.0,176.0,1.39,137.0,208.0,60.21666666666667,73.0,96.0
122,2017-07-24,Lucedale Running,7.233333333333333,6.7,11.41,1234.0,164.09009007445712,171.44260605680864,168.0,176.0,261.0,268.0,1.32,63.0,140.0,82.6,75.0,95.0
123,2017-07-23,Moss Point Running,7.533333333333333,6.216666666666667,6.65,727.0,149.4859637557647,168.19777430902428,167.0,176.0,118.0,128.0,1.28,63.0,124.0,50.016666666666666,82.0,96.0
124,2017-07-22,Mobile Running,6.95,5.55,13.25,1402.0,169.92680731393796,175.31467538833712,169.0,185.0,436.0,446.0,1.37,87.0,208.0,92.01666666666667,75.0,94.0
125,2017-07-21,Moss Point Running,7.15,6.766666666666667,7.72,833.0,154.00532968963535,171.09118398268393,168.0,175.0,80.0,65.0,1.34,36.0,88.0,55.25,78.0,98.0
126,2017-07-20,Moss Point Running,6.633333333333333,5.4,7.04,743.0,153.90895079953052,167.82539652988336,169.0,185.0,175.0,178.0,1.46,69.0,125.0,46.666666666666664,76.0,99.0
127,2017-07-20,Lucedale Running,7.833333333333333,6.966666666666667,3.0,327.0,139.32017711022692,159.94011078469467,165.0,172.0,44.0,59.0,1.24,76.0,128.0,23.483333333333334,76.0,99.0
128,2017-07-19,Lucedale Running,7.566666666666666,6.983333333333333,5.78,629.0,147.17224910832445,170.17863528138528,167.0,174.0,104.0,118.0,1.27,69.0,135.0,43.766666666666666,74.0,98.0
129,2017-07-18,Running,6.516666666666667,4.533333333333333,9.32,997.0,163.03027745443154,176.13529764679762,170.0,199.0,150.0,153.0,1.45,289.0,375.0,60.8,72.0,96.0
130,2017-07-17,Lucedale Running,7.05,6.466666666666667,6.81,732.0,151.9797266735201,168.1186948236948,166.0,173.0,115.0,130.0,1.37,70.0,128.0,48.016666666666666,74.0,95.0
131,2017-07-16,Moss Point Running,7.216666666666667,6.75,5.95,641.0,148.68659324487066,171.95028210678214,167.0,176.0,74.0,71.0,1.33,36.0,87.0,42.95,75.0,91.0
132,2017-07-15,Mobile Running,7.0,5.566666666666666,10.58,1103.0,160.45220355225985,171.9716575200726,169.0,183.0,185.0,198.0,1.36,137.0,210.0,74.1,75.0,92.0
133,2017-07-14,Lucedale Running,7.333333333333333,6.616666666666667,6.82,739.0,150.9329382808427,167.53162638287634,167.0,174.0,109.0,103.0,1.31,86.0,141.0,50.03333333333333,73.0,94.0
134,2017-07-13,Moss Point Running,7.316666666666666,3.1166666666666667,4.93,522.0,144.86645718187935,167.36641272659799,168.0,226.0,26.0,28.0,1.31,74.0,102.0,36.03333333333333,74.0,97.0
135,2017-07-13,Moss Point Running,7.3,6.616666666666667,2.87,308.0,139.9463304030119,159.014194118028,167.0,174.0,11.0,24.0,1.32,85.0,102.0,20.966666666666665,74.0,97.0
136,2017-07-12,Lucedale Running,7.7,6.683333333333334,3.77,409.0,141.42518879542482,167.44607992007994,166.0,173.0,76.0,97.0,1.25,86.0,140.0,29.033333333333335,75.0,97.0
137,2017-07-11,Moss Point Running,6.666666666666667,4.283333333333333,3.4,368.0,143.4788630380554,162.57798284258843,171.0,205.0,10.0,15.0,1.41,89.0,102.0,22.7,72.0,96.0
